"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Blockchain-Powered Decentralized and Secure Computing Paradigm","G. J. Mendis; Y. Wu; J. Wei; M. Sabounchi; R. Roche","Computer and Information Technology, Purdue University, 311308 West Lafayette, Indiana United States (e-mail: ijm11@zips.uakron.edu); Computer and Information Technology, Purdue University, 311308 West Lafayette, Indiana United States (e-mail: yw62@zips.uakron.edu); Computer and Information Technology, Purdue University, 311308 West Lafayette, Indiana United States (e-mail: jinwei06@gmail.com); Computer and Information Technology, Purdue University, 311308 West Lafayette, Indiana United States (e-mail: ms370@zips.uakron.edu); NASA Glenn Research Center, NASA Glenn Research Center, Cleveland, Ohio United States (e-mail: rigoberto.roche@nasa.gov)","IEEE Transactions on Emerging Topics in Computing","","2020","PP","99","1","1","Thanks to the advances in machine learning, data-driven analysis tools have become valuable solutions for various applications. However, there still remain essential challenges to develop effective data-driven methods because of the need to acquire a large amount of data and to have sufficient computing power to handle the data. In many instances these challenges are addressed by relying on a cloud computing vendor. However, although commercial cloud vendors provide valuable platforms for data analytics, they can suffer from a lack of transparency, security, and privacy-preservation. Furthermore, reliance on cloud servers prevents applying big data analytics in environments where the computing power is distributed. To address these challenges, a decentralized, secure, and privacy-preserving computing paradigm is proposed to enable an asynchronized cooperative computing process amongst distributed and untrustworthy computing nodes that may have limited computing power and computing intelligence. This paradigm is designed by exploring blockchain, decentralized learning, and homomorphic encryption techniques. The performance of the proposed paradigm is evaluated via different scenarios in the simulation section.","2168-6750","","10.1109/TETC.2020.2983007","National Aeronautics and Space Administration; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9050459","Blockchain;Decentralized and Secure Learning;Machine Learning;Privacy;Security;Homomorphic Encryption","Computational modeling;Blockchain;Machine learning;Cloud computing;Security;Data models","","","","","","","30 Mar 2020","","","IEEE","IEEE Early Access Articles"
"IFLBC: On the Edge Intelligence Using Federated Learning Blockchain Network","R. Doku; D. B. Rawat","Data Science and Cybersecurity Center (DSC2),EECS Department Howard University,Washington,USA,DC 20059; Data Science and Cybersecurity Center (DSC2),EECS Department Howard University,Washington,USA,DC 20059","2020 IEEE 6th Intl Conference on Big Data Security on Cloud (BigDataSecurity), IEEE Intl Conference on High Performance and Smart Computing, (HPSC) and IEEE Intl Conference on Intelligent Data and Security (IDS)","23 Jun 2020","2020","","","221","226","Lately there has been an increase in the number of Machine Learning (ML) and Artificial Intelligence (AI) applications ranging from recommendation systems to face to speech recognition. At the helm of the advent of deep learning is the proliferation of data from diverse data sources ranging from Internet-of-Things (IoT) devices to self-driving automobiles. Tapping into this unlimited reservoir of information presents the problem of finding quality data out of a myriad of irrelevant ones, which to this day, has been a significant issue in data science with a direct ramification of this being the inability to generate quality ML models for useful predictive analysis. Edge computing has been deemed a solution to some of issues such as privacy, security, data silos and latency, as it ventures to bring cloud computing services closer to end-nodes. A new form of edge computing known as edge-AI attempts to bring ML, AI, and predictive analytics services closer to the data source (end devices). In this paper, we investigate an approach to bring edge-AI to end-nodes through a shared machine learning model powered by the blockchain technology and a federated learning framework called iFLBC edge. Our approach addresses the issue of the scarcity of relevant data by devising a mechanism known as the Proof of Common Interest (PoCI) to sieve out relevant data from irrelevant ones. The relevant data is trained on a model, which is then aggregated along with other models to generate a shared model that is stored on the blockchain. The aggregated model is downloaded by members of the network which they can utilize for the provision of edge intelligence to end-users. This way, AI can be more ubiquitous as members of the iFLBC network can provide intelligence services to end-users.","","978-1-7281-6873-9","10.1109/BigDataSecurity-HPSC-IDS49724.2020.00047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9123014","","","cloud computing;cryptography;distributed databases;learning (artificial intelligence)","edge-AI;iFLBC edge;edge intelligence;deep learning;Internet of Things devices;predictive analysis;edge computing;federated learning blockchain network;artificial intelligence;machine learning;Proof of Common Interest;cloud computing services","","","20","","23 Jun 2020","","","IEEE","IEEE Conferences"
"Reliable Federated Learning for Mobile Networks","J. Kang; Z. Xiong; D. Niyato; Y. Zou; Y. Zhang; M. Guizani","Nanyang Technol. Univ., China; Nanyang Technol. Univ., China; Nanyang Technol. Univ., China; Nanyang Technol. Univ., China; Huazhong Univ. of Sci. & Technol., Wuhan, China; Qatar Univ., Doha, Qatar","IEEE Wireless Communications","4 May 2020","2020","27","2","72","80","Federated learning, as a promising machine learning approach, has emerged to leverage a distributed personalized dataset from a number of nodes, for example, mobile devices, to improve performance while simultaneously providing privacy preservation for mobile users. In federated learning, training data is widely distributed and maintained on the mobile devices as workers. A central aggregator updates a global model by collecting local updates from mobile devices using their local training data to train the global model in each iteration. However, unreliable data may be uploaded by the mobile devices (i.e., workers), leading to frauds in tasks of federated learning. The workers may perform unreliable updates intentionally, for example, the data poisoning attack, or unintentionally, for example, low-quality data caused by energy constraints or high-speed mobility. Therefore, finding out trusted and reliable workers in federated learning tasks becomes critical. In this article, the concept of reputation is introduced as a metric. Based on this metric, a reliable worker selection scheme is proposed for federated learning tasks. Consortium blockchain is leveraged as a decentralized approach for achieving efficient reputation management of the workers without repudiation and tampering. By numerical analysis, the proposed approach is demonstrated to improve the reliability of federated learning tasks in mobile networks.","1558-0687","","10.1109/MWC.001.1900119","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8994206","","Mobile handsets;Task analysis;Machine learning;Data models;Training data;Data privacy;Training data;Metasearch","cryptography;data privacy;iterative methods;learning (artificial intelligence);mobile radio;telecommunication computing;telecommunication network reliability;telecommunication security","federated learning task reliabiltity;numerical analysis;reputation management;consortium blockchain;reputation concept;energy constraints;central aggregator updates;privacy preservation;worker selection scheme;high-speed mobility;data poisoning attack;local training data;central aggregator;mobile users;mobile devices;distributed personalized dataset;machine learning;mobile networks","","2","15","","11 Feb 2020","","","IEEE","IEEE Magazines"
"Intelligent Eco Networking (IEN) II: A Knowledge-Driven Future Internet Infrastructure for Value-Oriented Ecosystem","K. Lei; S. Huang; J. Huang; H. Liu; J. Liu","PCL Research Center of Networks and Communications, Peng Cheng Laboratory,Shenzhen,China; Shenzhen Key Lab for Information Centric Networking & Blockchain Technology (ICNLAB), School of Electronic and Computer Engineering (SECE), Peking University,Shenzhen,P.R. China,518055; Shenzhen Key Lab for Information Centric Networking & Blockchain Technology (ICNLAB), School of Electronic and Computer Engineering (SECE), Peking University,Shenzhen,P.R. China,518055; PCL Research Center of Networks and Communications, Peng Cheng Laboratory,Shenzhen,China; PCL Research Center of Networks and Communications, Peng Cheng Laboratory,Shenzhen,China","2019 2nd International Conference on Hot Information-Centric Networking (HotICN)","13 Apr 2020","2019","","","31","36","Intelligent Eco Networking (IEN) is intent on evolving the IP-based network architecture into a Knowledge-Driven Future Internet Infrastructure based on hierarchical heterogeneous networks composed of virtualized and configurable devices, taking the valuable contents as first-class entity, d riven by knowledge intelligence, integrating the decentralized consensus trust preservation, to establish a value-oriented social ecosystem. To counter with the complicated but inefficient mechanisms of IP, a tokenized fine-grained allocation mechanism i s proposed, taking comprehensive consideration of storage, computing and networking, bringing about a collaborative and mutually beneficial value-interconnection. Knowledge-Driven Scheme (KDS), as the guideline of IEN's establishment, illustrates the way to extract knowledge from the network, the value consensus of Blockchain, and the feedback control of Federated Learning, making economy-based distributed commerce feasible.","","978-1-7281-5781-8","10.1109/HotICN48464.2019.9063217","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9063217","internet architecture;blockchain;ICN;value-oriented ecosystem;distributed commerce","Knowledge engineering;Quality of service;Internet;Protocols;Ecosystems","Internet;IP networks;knowledge based systems;learning (artificial intelligence)","federated learning;KDS;knowledge-driven future Internet infrastructure;intelligent eco networking II;virtualized devices;hierarchical heterogeneous networks;IP-based network architecture;value-oriented ecosystem;IEN;mutually beneficial value-interconnection;collaborative value-interconnection;fine-grained allocation mechanism;value-oriented social ecosystem;decentralized consensus trust preservation;knowledge intelligence","","","16","","13 Apr 2020","","","IEEE","IEEE Conferences"
"Transform Blockchain into Distributed Parallel Computing Architecture for Precision Medicine","Z. Shae; J. Tsai","Department of Computer Science and Information Engineering, Asia University, Taichung, Taiwan; Dept. of Bioinf. & Med. Eng., Asia Univ., Taichung, Taiwan","2018 IEEE 38th International Conference on Distributed Computing Systems (ICDCS)","23 Jul 2018","2018","","","1290","1299","This paper provides a vision and proposes mechanisms to transform the blockchain duplicated computing into distributed parallel computing architecture by transforming smart contract which features data driven from the ground up to support moving computing to native data strategy. This new distributed parallel computing architecture can be employed to build a large size of data set from various distributed hosted medical data sets which might consist of personal electronic medical record (EMR) and various medical data. This large medical data set will enable researchers to jump start the deep learning research for medical domain. Distributed data management, distributed data sharing, and distributed learning are the core mechanisms in the new architecture. The required new researches and developments to employ Google federated learning and transfer learning algorithms in this new architecture are discussed. The approach and mechanism enabled by the new architecture is illustrated to build a real world evidence of clinical trial toward personal and precision medicine. Research issues and technical challenges are provided.","2575-8411","978-1-5386-6871-9","10.1109/ICDCS.2018.00129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8416392","Blockchain, distributed and parallel computing, data ownership, data integration, health information exchange, big data analytics, deep learning, clinical trial, precision medicine","Distributed databases;Contracts;Parallel processing;Computer architecture;Clinical trials;Machine learning","data analysis;electronic health records;learning (artificial intelligence);parallel architectures","transform blockchain;distributed parallel computing architecture;native data strategy;personal electronic medical record;distributed data management;distributed learning;EMR;deep learning research;Google federated learning;transfer learning algorithm","","2","53","","23 Jul 2018","","","IEEE","IEEE Conferences"
"BlockFedML: Blockchained Federated Machine Learning Systems","S. Wang",Harbin Institute of Petroleum,"2019 International Conference on Intelligent Computing, Automation and Systems (ICICAS)","2 Apr 2020","2019","","","751","756","With the emphasis on security and privacy, Federated Machine Learning (FML) systems have become a research hotspot due to it can perform machine learning models without compromising security and privacy. However, there are two crucial challenges. One is a gradient information leak, and the other is vulnerable to integrity attacks. In this paper, we proposed a Blockchained Federated Machine Learning System, which called ""BlockFedML."" In BlockFedML, we develop Security Parameter Aggregation Mechanisms, Checkpoint based-Smart Contracts, Incentive Mechanisms, and Transfer Learning. Finally, we outlined the BlockFedML system and its applications and explained our future work.","","978-1-7281-6106-8","10.1109/ICICAS48597.2019.00162","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9051184","security and privacy, machine learning, federated learning, blockchain","","data privacy;learning (artificial intelligence);security of data","privacy;research hotspot;gradient information leak;transfer learning;BlockFedML system;security parameter aggregation mechanisms;blockchained federated machine learning system;checkpoint based-smart contracts;incentive mechanisms","","","27","","2 Apr 2020","","","IEEE","IEEE Conferences"
"DeepChain: Auditable and Privacy-Preserving Deep Learning with Blockchain-based Incentive","J. Weng; J. Weng; J. Zhang; M. Li; Y. Zhang; W. Luo","College of Information Science and Technology, Jinan University, 47885 Guangzhou, Guangdong China (e-mail: wengjiasi@gmail.com); Computer Science, Jinan University, 47885 Guangzhou, Guangdong China (e-mail: cryptjweng@gmail.com); College of Cyber Security, Jinan University, 47885 Guangzhou, Guangdong China 510632 (e-mail: jilian.z.2007@smu.edu.sg); College of Information Science and Technology, Jinan University, 47885 Guangzhou, Guangdong China (e-mail: limjnu@gmail.com); College of Information Science and Technology, Jinan University, 47885 Guangzhou, Guangdong China (e-mail: zyueinfosec@gmail.com); College of Information Science and Technology, Jinan University, 47885 Guangzhou, Guangdong China (e-mail: lwq@jnu.edu.cn)","IEEE Transactions on Dependable and Secure Computing","","2019","PP","99","1","1","Deep learning can achieve higher accuracy than traditional machine learning algorithms in a variety of machine learning tasks. Recently, privacy-preserving deep learning has drawn tremendous attention from information security community, in which neither training data nor the training model is expected to be exposed. Federated learning is a popular learning mechanism, where multiple parties upload local gradients to a server and the server updates model parameters with the collected gradients. However, there are many security problems neglected in federated learning, for example, the participants may behave incorrectly in gradient collecting or parameter updating, and the server may be malicious as well. In this paper, we present a distributed, secure, and fair deep learning framework named \textit{DeepChain} to solve these problems. DeepChain provides a value-driven incentive mechanism based on Blockchain to force the participants to behave correctly. Meanwhile, DeepChain guarantees data privacy for each participant and provides auditability for the whole training process. We implement a DeepChain prototype and conduct experiments on a real dataset for different settings, and the results show that our DeepChain is promising.","1941-0018","","10.1109/TDSC.2019.2952332","National Natural Science Foundation of China; Guangdong Provincial Special Funds for Applied Technology Research and Development and Transformation of Important Scientific and Technological Achieve; National Key RD Program of China; National Key RD Plan of China; Guangdong Provincial Engineering Technology Research Center on Network Security Detection and Defence; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8894364","Deep learning;Privacy-preserving training;Blockchain;Incentive","Deep learning;Training;Servers;Blockchain;Collaboration;Training data;Data models","","","","9","","","8 Nov 2019","","","IEEE","IEEE Early Access Articles"
"A Trustworthy Privacy Preserving Framework for Machine Learning in Industrial IoT Systems","P. C. M. Arachchige; P. Bertok; I. Khalil; D. Liu; S. Camtepe; M. Atiquzzaman","Department of Computer Science and Software Engineering, School of Science, The Royal Melbourne Institute of Technology (RMIT) University, Melbourne, VIC, Australia; Department of Computer Science and Software Engineering at the School of Science, RMIT University, Melbourne, VIC, Australia; Department of Computer Science and Software Engineering at the School of Science, RMIT University, Melbourne, VIC, Australia; CSIRO Data61, Marsfield, NSW, Australia; CSIRO Data61, Marsfield, NSW, Australia; School of Computer Science, University of Oklahoma, Norman, OK, USA","IEEE Transactions on Industrial Informatics","2 Jun 2020","2020","16","9","6092","6102","Industrial Internet of Things (IIoT) is revolutionizing many leading industries such as energy, agriculture, mining, transportation, and healthcare. IIoT is a major driving force for Industry 4.0, which heavily utilizes machine learning (ML) to capitalize on the massive interconnection and large volumes of IIoT data. However, ML models that are trained on sensitive data tend to leak privacy to adversarial attacks, limiting its full potential in Industry 4.0. This article introduces a framework named PriModChain that enforces privacy and trustworthiness on IIoT data by amalgamating differential privacy, federated ML, Ethereum blockchain, and smart contracts. The feasibility of PriModChain in terms of privacy, security, reliability, safety, and resilience is evaluated using simulations developed in Python with socket programming on a general-purpose computer. We used Ganache_v2.0.1 local test network for the local experiments and Kovan test network for the public blockchain testing. We verify the proposed security protocol using Scyther_v1.1.3 protocol verifier.","1941-0050","","10.1109/TII.2020.2974555","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9000905","Blockchains;differential privacy (DP);ethereum;federated learning (FedML);Industrial Internet of Things (IIoT);Industry 4.0;IIoT trustworthiness;IPFS;machine learning;smart contract","Industries;Privacy;Machine learning;Data models;Contracts","cryptographic protocols;data privacy;distributed databases;Internet of Things;learning (artificial intelligence);telecommunication network reliability","Scyther_v1.1.3 protocol verifier;security protocol;socket programming;Python;Ethereum blockchain;Industrial Internet of Things;driving force;industrial IoT systems;machine learning;trustworthy privacy preserving framework;Ganache_v2.0.1 local test network;amalgamating differential privacy;PriModChain;IIoT data","","","34","IEEE","17 Feb 2020","","","IEEE","IEEE Journals"
"AI at the Edge: Blockchain-Empowered Secure Multiparty Learning with Heterogeneous Models","Q. Wang; Y. Guo; X. Wang; T. Ji; L. Yu; P. Li","Department of Electrical, Computer and Systems Engineering, Case Western Reserve University, Cleveland, OH, 44106.; Department of Electrical, Computer and Systems Engineering, Case Western Reserve University, Cleveland, OH, 44106.; Department of Electrical, Computer and Systems Engineering, Case Western Reserve University, Cleveland, OH, 44106.; Department of Electrical, Computer and Systems Engineering, Case Western Reserve University, Cleveland, OH, 44106.; Department of Electrical, Computer and Systems Engineering, Case Western Reserve University, Cleveland, OH, 44106.; Department of Electrical, Computer and Systems Engineering, Case Western Reserve University, Cleveland, OH, 44106. (e-mail: lee79@ieee.org)","IEEE Internet of Things Journal","","2020","PP","99","1","1","Edge computing, an emerging computing paradigm pushing data computing and storing to network edges, enables many applications that require high computing complexity, scalability, and security. In the big data era, one of the most critical applications is multiparty learning or federated learning, which allows different parties to collaborate with each other to obtain better learning models without sharing their own data. However, there are several main concerns about the current multiparty learning systems. First, most existing systems are distributed and need a central server to coordinate the learning process. However, such a central server can easily become a single point of failure and may not be trustworthy. Second, although quite a few schemes have been proposed to study Byzantine attacks, a very common and challenging kind of attack in distributed systems, they generally consider the scenario of learning a global model. However, in fact, all parties in multiparty learning usually have their own local models. The learning methods and security issues in this case are not fully explored. In this paper, we propose a novel blockchain-empowered decentralized secure multiparty learning system with heterogeneous local models called BEMA. Particularly, we consider two types of Byzantine attacks, and carefully design “off-chain sample mining” and “on-chain mining” schemes to protect the security of the proposed system. We theoretically prove the system performance bound and resilience under Byzantine attacks. Simulation results show that the proposed system obtains comparable performance with that of conventional distributed systems, and bounded performance in the case of Byzantine attacks.","2327-4662","","10.1109/JIOT.2020.2987843","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9066954","Multiparty learning;security;blockchain;decentralized network;heterogeneous models.","Computational modeling;Calibration;Learning systems;Predictive models;Servers;Data models","","","","","","","14 Apr 2020","","","IEEE","IEEE Early Access Articles"
"A Secure Federated Learning Framework for 5G Networks","Y. Liu; J. Peng; J. Kang; A. M. Iliyasu; D. Niyato; A. A. A. El-Latif",NA; NA; NA; NA; NA; NA,"IEEE Wireless Communications","18 Aug 2020","2020","27","4","24","31","Federated learning (FL) has recently been proposed as an emerging paradigm to build machine learning models using distributed training datasets that are locally stored and maintained on different devices in 5G networks while providing privacy preservation for participants. In FL, the central aggregator accumulates local updates uploaded by participants to update a global model. However, there are two critical security threats: poisoning and membership inference attacks. These attacks may be carried out by malicious or unreliable participants, resulting in the construction failure of global models or privacy leakage of FL models. Therefore, it is crucial for FL to develop security means of defense. In this article, we propose a blockchain-based secure FL framework to create smart contracts and prevent malicious or unreliable participants from being involved in FL. In doing so, the central aggregator recognizes malicious and unreliable participants by automatically executing smart contracts to defend against poisoning attacks. Further, we use local differential privacy techniques to prevent membership inference attacks. Numerical results suggest that the proposed framework can effectively deter poisoning and membership inference attacks, thereby improving the security of FL in 5G networks.","1558-0687","","10.1109/MWC.01.1900525","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9170265","","5G mobile communication;Data models;Training data;Data privacy;Machine learning;Task analysis;Smart contracts;Computer security","","","","","15","","18 Aug 2020","","","IEEE","IEEE Magazines"
"6G Wireless Systems: A Vision, Architectural Elements, and Future Directions","L. U. Khan; I. Yaqoob; M. Imran; Z. Han; C. S. Hong","Department of Computer Science and Engineering, Kyung Hee University, Yongin, South Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin, South Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin, South Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin, South Korea; Department of Computer Science and Engineering, Kyung Hee University, Yongin, South Korea","IEEE Access","17 Aug 2020","2020","8","","147029","147044","Internet of everything (IoE)-based smart services are expected to gain immense popularity in the future, which raises the need for next-generation wireless networks. Although fifth-generation (5G) networks can support various IoE services, they might not be able to completely fulfill the requirements of novel applications. Sixth-generation (6G) wireless systems are envisioned to overcome 5G network limitations. In this article, we explore recent advances made toward enabling 6G systems. We devise a taxonomy based on key enabling technologies, use cases, emerging machine learning schemes, communication technologies, networking technologies, and computing technologies. Furthermore, we identify and discuss open research challenges, such as artificial-intelligence-based adaptive transceivers, intelligent wireless energy harvesting, decentralized and secure business models, intelligent cell-less architecture, and distributed security models. We propose practical guidelines including deep Q-learning and federated learning-based transceivers, blockchain-based secure business models, homomorphic encryption, and distributed-ledger-based authentication schemes to cope with these challenges. Finally, we outline and recommend several future directions.","2169-3536","","10.1109/ACCESS.2020.3015289","Institute of Information and Communications Technology Planning and Evaluation (IITP) Grant funded by the Korean Government Ministry of Science and ICT (MSIT), South Korea, Evolvable Deep Learning Model Generation Platform for Edge Computing; MSIT through the Grand Information Technology Research Center Support Program, supervised by the Institute for Information and Communications Technology Planning and Evaluation (IITP); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9163104","6G;5G;Internet of Things;Internet of Everything;federated learning;meta learning;blockchain","5G mobile communication;Tutorials;Wireless networks;Machine learning;Computational modeling","","","","","92","CCBY","10 Aug 2020","","","IEEE","IEEE Journals"
"FDC: A Secure Federated Deep Learning Mechanism for Data Collaborations in the Internet of Things","B. Yin; H. Yin; Y. Wu; Z. Jiang","School of Computer Science, Beijing Information Science and Technology University, Beijing, China; Research Institute of Information Technology, Tsinghua University, Beijing, China; College of Engineering, Mathematics and Physical Science, University of Exeter, Exeter, U.K.; Research Institute of Information Technology, Tsinghua University, Beijing, China","IEEE Internet of Things Journal","10 Jul 2020","2020","7","7","6348","6359","With the explosive network data due to the advanced development of the Internet of Things (IoT), the demand for multiparty computation is increasing. In addition, with the advent of future digital society, data have been gradually evolving into an effective virtual asset for sharing and usage. With the nature of the sensitivity, massiveness, fragmentation, and security of multiparty data computation in the IoT environment, we propose a secure data collaboration framework (FDC) based on federated deep-learning technology. The proposed framework can realize the secure collaboration of multiparty data computation on the premise that the data do not need to be transmitted out of their private data center. This framework is empowered by public data center, private data center, and the blockchain technology. The private data center is responsible for data governance, data registration, and data management. The public data center is used for multiparty secure computation. The blockchain paradigm is responsible for ensuring secure data usage and transmissions. A real IoT scenario is used to validate the effectiveness of the proposed framework.","2327-4662","","10.1109/JIOT.2020.2966778","National Basic Research Program of China (973 Program); National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8960348","Data collaboration;data privacy;deep learning;federated learning;internet of Things (IoT)","Data centers;Internet of Things;Data privacy;Collaboration;Security;Cyberspace","computer centres;computer network management;computer network security;cryptography;data privacy;distributed databases;Internet of Things;learning (artificial intelligence);neural nets","blockchain technology;Internet of Things;data management;data registration;data governance;public data center;private data center;secure data collaboration framework;multiparty data computation;secure federated deep learning mechanism;FDC","","2","48","IEEE","15 Jan 2020","","","IEEE","IEEE Journals"
